"filename", "language", "PHP", "JSON", "Markdown", "XML", "HTML", "JavaScript", "PostCSS", "comment", "blank", "total"
"d:\wamp\www\Supply\database\migrations\2026_01_07_000001_add_boutique_fields_to_users.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 7, 4, 32
"d:\wamp\www\Supply\database\migrations\2026_01_08_100410_create_stock_mouvements_table.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 6, 5, 39
"d:\wamp\www\Supply\database\migrations\2026_01_08_101900_add_est_actif_to_produits_table.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 6, 4, 31
"d:\wamp\www\Supply\database\migrations\2026_01_15_000000_add_vendor_fields_to_users_table.php", "PHP", 51, 0, 0, 0, 0, 0, 0, 7, 4, 62
"d:\wamp\www\Supply\database\migrations\2026_01_15_150000_fix_user_roles.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 8, 4, 28
"d:\wamp\www\Supply\database\migrations\2026_01_16_000615_create_favorites_table.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 7, 5, 33
"d:\wamp\www\Supply\database\migrations\2026_02_28_000000_add_profile_photo_to_users_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 6, 4, 29
"d:\wamp\www\Supply\database\migrations\2026_02_28_000001_add_delivery_location_to_users.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 7, 4, 31
"d:\wamp\www\Supply\database\migrations\2026_02_28_000002_create_security_logs_table.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 11, 10, 54
"d:\wamp\www\Supply\database\migrations\2026_03_01_000000_add_email_verification_code_to_users_table.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 6, 4, 30
"d:\wamp\www\Supply\database\migrations\2026_03_01_000001_create_delivery_locations_and_payment_cinema.php", "PHP", 61, 0, 0, 0, 0, 0, 0, 6, 11, 78
"d:\wamp\www\Supply\database\migrations\2026_03_01_add_country_to_users_table.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 6, 4, 33
"d:\wamp\www\Supply\database\migrations\2026_03_01_create_ci_locations_tables.php", "PHP", 46, 0, 0, 0, 0, 0, 0, 10, 7, 63
"d:\wamp\www\Supply\database\migrations\2026_03_02_000001_create_admin_roles_table.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 7, 6, 42
"d:\wamp\www\Supply\database\migrations\2026_03_02_000002_create_user_documents_table.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 6, 5, 37
"d:\wamp\www\Supply\database\migrations\2026_03_02_000003_create_user_bans_table.php", "PHP", 34, 0, 0, 0, 0, 0, 0, 7, 7, 48
"d:\wamp\www\Supply\database\migrations\2026_03_02_000004_create_stock_alerts_table.php", "PHP", 34, 0, 0, 0, 0, 0, 0, 7, 7, 48
"d:\wamp\www\Supply\database\migrations\2026_03_02_000005_create_disputes_table.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 6, 5, 43
"d:\wamp\www\Supply\database\migrations\2026_03_02_000006_create_system_configurations_table.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 6, 4, 32
"d:\wamp\www\Supply\database\migrations\2026_03_02_000007_create_delivery_zones_table.php", "PHP", 42, 0, 0, 0, 0, 0, 0, 8, 8, 58
"d:\wamp\www\Supply\database\migrations\2026_03_02_000008_create_delivery_tracking_table.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 7, 7, 54
"d:\wamp\www\Supply\database\migrations\2026_03_02_125517_modify_produits_image_to_json.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 8, 5, 34
"d:\wamp\www\Supply\database\migrations\2026_03_02_231909_fix_image_paths.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 9, 5, 33
"d:\wamp\www\Supply\database\migrations\2026_03_03_000009_create_audit_logs_table.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 1, 5, 36
"d:\wamp\www\Supply\database\migrations\2026_03_03_000010_add_vendor_validation_to_users.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 4, 31
"d:\wamp\www\Supply\database\migrations\2026_03_03_000011_add_is_active_to_categories.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 7, 4, 34
"d:\wamp\www\Supply\database\migrations\2026_03_03_000012_create_vendor_validations_table.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 1, 5, 35
"d:\wamp\www\Supply\database\migrations\2026_03_03_000013_add_model_name_reason_to_audit_logs.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 1, 4, 38
"d:\wamp\www\Supply\database\migrations\2026_03_04_000000_add_produit_id_to_messages.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 4, 28
