"filename", "language", "JavaScript", "PHP", "JSON", "Markdown", "XML", "HTML", "PostCSS", "comment", "blank", "total"
"d:\wamp\www\Supply\resources\views\auth\verify-email.blade.php", "PHP", 0, 40, 0, 0, 0, 0, 0, 0, 6, 46
"d:\wamp\www\Supply\resources\views\client\commande-detail.blade.php", "PHP", 0, 258, 0, 0, 0, 0, 0, 0, 22, 280
"d:\wamp\www\Supply\resources\views\client\commandes.blade.php", "PHP", 0, 82, 0, 0, 0, 0, 0, 0, 4, 86
"d:\wamp\www\Supply\resources\views\client\dashboard.blade.php", "PHP", 0, 216, 0, 0, 0, 0, 0, 1, 13, 230
"d:\wamp\www\Supply\resources\views\client\profil.blade.php", "PHP", 0, 385, 0, 0, 0, 0, 0, 14, 57, 456
"d:\wamp\www\Supply\resources\views\commandes\create.blade.php", "PHP", 0, 818, 0, 0, 0, 0, 0, 65, 119, 1002
"d:\wamp\www\Supply\resources\views\commandes\facture-pdf.blade.php", "PHP", 0, 356, 0, 0, 0, 0, 0, 0, 8, 364
"d:\wamp\www\Supply\resources\views\commandes\index.blade.php", "PHP", 0, 74, 0, 0, 0, 0, 0, 0, 8, 82
"d:\wamp\www\Supply\resources\views\commandes\show.blade.php", "PHP", 0, 158, 0, 0, 0, 0, 0, 0, 12, 170
"d:\wamp\www\Supply\resources\views\components\auth-session-status.blade.php", "PHP", 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\wamp\www\Supply\resources\views\components\carte-produit.blade.php", "PHP", 0, 128, 0, 0, 0, 0, 0, 4, 14, 146
"d:\wamp\www\Supply\resources\views\components\dropdown-link.blade.php", "PHP", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\wamp\www\Supply\resources\views\components\icon.blade.php", "PHP", 0, 55, 0, 0, 0, 0, 0, 8, 11, 74
"d:\wamp\www\Supply\resources\views\components\input-error.blade.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"d:\wamp\www\Supply\resources\views\components\input-label.blade.php", "PHP", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\wamp\www\Supply\resources\views\components\live-search.blade.php", "PHP", 0, 144, 0, 0, 0, 0, 0, 3, 15, 162
"d:\wamp\www\Supply\resources\views\components\security-logs.blade.php", "PHP", 0, 124, 0, 0, 0, 0, 0, 1, 6, 131
"d:\wamp\www\Supply\resources\views\components\skeleton-loaders.blade.php", "PHP", 0, 93, 0, 0, 0, 0, 0, 0, 17, 110
"d:\wamp\www\Supply\resources\views\components\text-input.blade.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"d:\wamp\www\Supply\resources\views\components\vendeur-sidebar.blade.php", "PHP", 0, 124, 0, 0, 0, 0, 0, 0, 12, 136
"d:\wamp\www\Supply\resources\views\components\vendor-statistics.blade.php", "PHP", 0, 266, 0, 0, 0, 0, 0, 0, 24, 290
"d:\wamp\www\Supply\resources\views\emails\email-verification-code.blade.php", "PHP", 0, 66, 0, 0, 0, 0, 0, 0, 10, 76
"d:\wamp\www\Supply\resources\views\emails\welcome.blade.php", "PHP", 0, 42, 0, 0, 0, 0, 0, 0, 18, 60
"d:\wamp\www\Supply\resources\views\favoris\index.blade.php", "PHP", 0, 186, 0, 0, 0, 0, 0, 2, 21, 209
"d:\wamp\www\Supply\resources\views\layouts\app.blade.php", "PHP", 0, 346, 0, 0, 0, 0, 0, 16, 48, 410
"d:\wamp\www\Supply\resources\views\layouts\client.blade.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\wamp\www\Supply\resources\views\layouts\guest.blade.php", "PHP", 0, 28, 0, 0, 0, 0, 0, 0, 5, 33
"d:\wamp\www\Supply\resources\views\layouts\navigation-client.blade.php", "PHP", 0, 201, 0, 0, 0, 0, 0, 5, 22, 228
"d:\wamp\www\Supply\resources\views\layouts\vendeur.blade.php", "PHP", 0, 67, 0, 0, 0, 0, 0, 0, 7, 74
"d:\wamp\www\Supply\resources\views\messages\conversation-enhanced.blade.php", "PHP", 0, 221, 0, 0, 0, 0, 0, 14, 28, 263
"d:\wamp\www\Supply\resources\views\messages\conversation.blade.php", "PHP", 0, 271, 0, 0, 0, 0, 0, 18, 32, 321
"d:\wamp\www\Supply\resources\views\messages\inbox.blade.php", "PHP", 0, 158, 0, 0, 0, 0, 0, 1, 13, 172
"d:\wamp\www\Supply\resources\views\panier\index.blade.php", "PHP", 0, 174, 0, 0, 0, 0, 0, 0, 16, 190
"d:\wamp\www\Supply\resources\views\partials\categories-section.blade.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 0, 2, 29
"d:\wamp\www\Supply\resources\views\partials\cta-section.blade.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
"d:\wamp\www\Supply\resources\views\partials\favoris-section.blade.php", "PHP", 0, 148, 0, 0, 0, 0, 0, 2, 17, 167
"d:\wamp\www\Supply\resources\views\partials\hero-section.blade.php", "PHP", 0, 33, 0, 0, 0, 0, 0, 0, 4, 37
"d:\wamp\www\Supply\resources\views\partials\produits-vedettes.blade.php", "PHP", 0, 18, 0, 0, 0, 0, 0, 0, 2, 20
"d:\wamp\www\Supply\resources\views\produits\catalogue.blade.php", "PHP", 0, 107, 0, 0, 0, 0, 0, 0, 10, 117
"d:\wamp\www\Supply\resources\views\produits\show.blade.php", "PHP", 0, 591, 0, 0, 0, 0, 0, 23, 59, 673
"d:\wamp\www\Supply\resources\views\vendeur\apercu.blade.php", "PHP", 0, 280, 0, 0, 0, 0, 0, 2, 25, 307
"d:\wamp\www\Supply\resources\views\vendeur\avis.blade.php", "PHP", 0, 173, 0, 0, 0, 0, 0, 0, 17, 190
"d:\wamp\www\Supply\resources\views\vendeur\commandes-detail.blade.php", "PHP", 0, 207, 0, 0, 0, 0, 0, 0, 18, 225
"d:\wamp\www\Supply\resources\views\vendeur\commandes\index.blade.php", "PHP", 0, 111, 0, 0, 0, 0, 0, 0, 7, 118
"d:\wamp\www\Supply\resources\views\vendeur\commandes\show.blade.php", "PHP", 0, 247, 0, 0, 0, 0, 0, 1, 23, 271
"d:\wamp\www\Supply\resources\views\vendeur\dashboard.blade.php", "PHP", 0, 268, 0, 0, 0, 0, 0, 0, 18, 286
"d:\wamp\www\Supply\resources\views\vendeur\layout-dashboard.blade.php", "PHP", 0, 149, 0, 0, 0, 0, 0, 1, 26, 176
"d:\wamp\www\Supply\resources\views\vendeur\messagerie\index.blade.php", "PHP", 0, 83, 0, 0, 0, 0, 0, 0, 8, 91
"d:\wamp\www\Supply\resources\views\vendeur\messages.blade.php", "PHP", 0, 111, 0, 0, 0, 0, 0, 0, 11, 122
"d:\wamp\www\Supply\resources\views\vendeur\messages\show.blade.php", "PHP", 0, 178, 0, 0, 0, 0, 0, 1, 11, 190
"d:\wamp\www\Supply\resources\views\vendeur\parametres.blade.php", "PHP", 0, 157, 0, 0, 0, 0, 0, 0, 21, 178
"d:\wamp\www\Supply\resources\views\vendeur\produits\create-edit.blade.php", "PHP", 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"d:\wamp\www\Supply\resources\views\vendeur\produits\form.blade.php", "PHP", 0, 255, 0, 0, 0, 0, 0, 11, 36, 302
"d:\wamp\www\Supply\resources\views\vendeur\produits\index.blade.php", "PHP", 0, 156, 0, 0, 0, 0, 0, 0, 15, 171
"d:\wamp\www\Supply\resources\views\vendeur\profil.blade.php", "PHP", 0, 253, 0, 0, 0, 0, 0, 1, 33, 287
"d:\wamp\www\Supply\resources\views\vendeur\statistiques.blade.php", "PHP", 0, 282, 0, 0, 0, 0, 0, 5, 21, 308
"d:\wamp\www\Supply\resources\views\vendeur\stock.blade.php", "PHP", 0, 78, 0, 0, 0, 0, 0, 0, 5, 83
"d:\wamp\www\Supply\resources\views\vendeur\stock\alertes.blade.php", "PHP", 0, 122, 0, 0, 0, 0, 0, 0, 13, 135
"d:\wamp\www\Supply\resources\views\vendeur\stock\historique.blade.php", "PHP", 0, 103, 0, 0, 0, 0, 0, 0, 7, 110
"d:\wamp\www\Supply\resources\views\vendeur\stock\index.blade.php", "PHP", 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"d:\wamp\www\Supply\resources\views\vendeur\stock\statistiques.blade.php", "PHP", 0, 98, 0, 0, 0, 0, 0, 0, 12, 110
"d:\wamp\www\Supply\routes\api.php", "PHP", 0, 33, 0, 0, 0, 0, 0, 5, 7, 45
"d:\wamp\www\Supply\routes\auth.php", "PHP", 0, 50, 0, 0, 0, 0, 0, 0, 20, 70
"d:\wamp\www\Supply\routes\console.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"d:\wamp\www\Supply\routes\web.php", "PHP", 0, 114, 0, 0, 0, 0, 0, 23, 29, 166
"d:\wamp\www\Supply\sync-products-images-v2.php", "PHP", 0, 77, 0, 0, 0, 0, 0, 10, 24, 111
"d:\wamp\www\Supply\sync-products-images.php", "PHP", 0, 63, 0, 0, 0, 0, 0, 12, 19, 94
"d:\wamp\www\Supply\tailwind.config.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 2, 4, 74
